seed,best_val_dice,test_dice,test_loss,epochs_ran,ckpt_path,best_threshold,tuned_threshold_val_dice,tuned_threshold_test_dice
0,0.7187857031822205,0.7756584286689758,0.2744175493717193,40,results/checkpoints/best_unet_seed0.h5,0.08673469387755102,0.7836606738590958,0.7476968577342668
1,0.7106161713600159,0.7027608752250671,0.2470005601644516,36,results/checkpoints/best_unet_seed1.h5,0.95,0.7209030448800267,0.6971213101166223
2,0.6351685523986816,0.6666918396949768,0.2676624357700348,25,results/checkpoints/best_unet_seed2.h5,0.9316326530612244,0.7503079919531794,0.7631201391736863
3,0.694466233253479,0.6703400015830994,0.2580176591873169,37,results/checkpoints/best_unet_seed3.h5,0.95,0.8166429878461479,0.7960779443750241
4,0.6882381439208984,0.6578242182731628,0.2770961821079254,39,results/checkpoints/best_unet_seed4.h5,0.23367346938775507,0.7959115339977907,0.7919779622496055
5,0.6347764134407043,0.6240296959877014,0.3064501583576202,30,results/checkpoints/best_unet_seed5.h5,0.8948979591836734,0.7871212439961953,0.7754647250245945
6,0.7120566368103027,0.7620771527290344,0.2167303562164306,40,results/checkpoints/best_unet_seed6.h5,0.05,0.8128257600387724,0.8050584464237608
7,0.7512014508247375,0.720906674861908,0.2549738585948944,56,results/checkpoints/best_unet_seed7.h5,0.9316326530612244,0.7251941001061166,0.7276996932006234
8,0.6554518938064575,0.6531195044517517,0.2815141677856445,38,results/checkpoints/best_unet_seed8.h5,0.9316326530612244,0.7965012021584086,0.7601979283863688
9,0.6783026456832886,0.6858054995536804,0.2630451917648315,57,results/checkpoints/best_unet_seed9.h5,0.9316326530612244,0.8233097992321052,0.8295860525422496
10,0.7088178992271423,0.7065423727035522,0.2579598128795624,45,results/checkpoints/best_unet_seed10.h5,0.95,0.7408851821823875,0.7222885404314313
11,0.6797081828117371,0.611049473285675,0.3005402982234955,33,results/checkpoints/best_unet_seed11.h5,0.95,0.7569601889884118,0.8108944822414755
12,0.7146259546279907,0.6683338284492493,0.2533913254737854,47,results/checkpoints/best_unet_seed12.h5,0.8765306122448979,0.7969334904510196,0.7935334708303067
13,0.7644411325454712,0.7582607865333557,0.2182415127754211,36,results/checkpoints/best_unet_seed13.h5,0.95,0.80633016624073,0.8208420523281755
14,0.6410003304481506,0.671709418296814,0.2623164057731628,36,results/checkpoints/best_unet_seed14.h5,0.6928571428571428,0.7471310100933113,0.7593028580613912
