seed,best_threshold,tuned_threshold_val_dice,tuned_threshold_test_dice,test_loss,epochs_ran
0,0.086734693877551,0.7836606738590958,0.7476968577342668,0.2744175493717193,40
1,0.95,0.7209030448800267,0.6971213101166223,0.2470005601644516,36
2,0.9316326530612244,0.7503079919531794,0.7631201391736863,0.2676624357700348,25
3,0.95,0.8166429878461479,0.7960779443750241,0.2580176591873169,37
4,0.233673469387755,0.7959115339977907,0.7919779622496055,0.2770961821079254,39
5,0.8948979591836734,0.7871212439961953,0.7754647250245945,0.3064501583576202,30
6,0.05,0.8128257600387724,0.8050584464237608,0.2167303562164306,40
7,0.9316326530612244,0.7251941001061166,0.7276996932006234,0.2549738585948944,56
8,0.9316326530612244,0.7965012021584086,0.7601979283863688,0.2815141677856445,38
9,0.9316326530612244,0.8233097992321052,0.8295860525422496,0.2630451917648315,57
10,0.95,0.7408851821823875,0.7222885404314313,0.2579598128795624,45
11,0.95,0.7569601889884118,0.8108944822414755,0.3005402982234955,33
12,0.8765306122448979,0.7969334904510196,0.7935334708303067,0.2533913254737854,47
13,0.95,0.80633016624073,0.8208420523281755,0.2182415127754211,36
14,0.6928571428571428,0.7471310100933113,0.7593028580613912,0.2623164057731628,36
